Date,Rainfall_mm
2022-12-08,0.0
2022-12-09,0.0
2022-12-10,0.0
2022-12-11,0.0
2022-12-12,0.9752238
2022-12-13,0.0
2022-12-14,0.0
2022-12-15,0.0
2022-12-16,0.0
2022-12-17,0.0
2022-12-18,0.0
2022-12-19,0.0
2022-12-20,0.0
2022-12-21,0.0
2022-12-22,0.0
2022-12-23,0.0
2022-12-24,0.0
2022-12-25,0.0
2022-12-26,0.0
2022-12-27,0.0
2022-12-28,0.0
2022-12-29,0.0
2022-12-30,0.0
2022-12-31,0.0
2023-01-01,0.0
2023-01-02,0.0
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-07,0.0
2023-01-08,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-14,0.0
2023-01-15,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-21,0.0
2023-01-22,0.0
2023-01-23,0.0
2023-01-24,0.0
2023-01-25,0.0
2023-01-26,0.0
2023-01-27,0.0
2023-01-28,0.0
2023-01-29,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,0.0
2023-02-02,0.0
2023-02-03,0.0
2023-02-04,0.0
2023-02-05,0.0
2023-02-06,0.0
2023-02-07,0.0
2023-02-08,0.0
2023-02-09,0.0
2023-02-10,0.0
2023-02-11,0.0
2023-02-12,0.0
2023-02-13,0.0
2023-02-14,0.0
2023-02-15,0.0
2023-02-16,0.0
2023-02-17,0.0
2023-02-18,0.0
2023-02-19,0.0
2023-02-20,0.0
2023-02-21,0.0
2023-02-22,0.0
2023-02-23,0.0
2023-02-24,0.0
2023-02-25,0.0
2023-02-26,0.0
2023-02-27,0.0
2023-02-28,0.0
2023-03-01,0.0
2023-03-02,0.0
2023-03-03,0.0
2023-03-04,0.0
2023-03-05,0.0
2023-03-06,0.0
2023-03-07,3.6138573
2023-03-08,0.12909243
2023-03-09,0.0
2023-03-10,0.0
2023-03-11,0.0
2023-03-12,0.0
2023-03-13,0.0
2023-03-14,0.0
2023-03-15,0.0
2023-03-16,1.264233
2023-03-17,4.1437883
2023-03-18,0.0
2023-03-19,0.0
2023-03-20,0.0
2023-03-21,0.0
2023-03-22,0.38899478
2023-03-23,0.0
2023-03-24,0.0
2023-03-25,0.0
2023-03-26,0.0
2023-03-27,0.0
2023-03-28,0.0
2023-03-29,0.0
2023-03-30,0.0
2023-03-31,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.48624346
2023-04-09,0.0
2023-04-10,6.7662244
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,23.973219
2023-04-15,0.0
2023-04-16,3.8316767
2023-04-17,0.28180054
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.3178612
2023-04-21,1.3334831
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,4.376191
2023-05-05,0.10595374
2023-05-06,0.0
2023-05-07,0.7108671
2023-05-08,0.41370323
2023-05-09,8.946879
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,4.88518
2023-05-31,0.013647312
2023-06-01,0.17348185
2023-06-02,6.918305
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,13.294726
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.25731623
2023-06-10,0.234653
2023-06-11,0.10595374
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,0.08717083
2023-06-15,0.12758021
2023-06-16,0.0
2023-06-17,0.27174985
2023-06-18,0.097248696
2023-06-19,0.0
2023-06-20,0.0
2023-06-21,0.0
2023-06-22,0.0
2023-06-23,0.0
2023-06-24,0.004549104
2023-06-25,14.326096
2023-06-26,10.943658
2023-06-27,7.1215153
2023-06-28,15.143332
2023-06-29,10.524135
2023-06-30,6.0798264
2023-07-01,20.482153
2023-07-02,3.4123719
2023-07-03,8.173459
2023-07-04,0.7409723
2023-07-05,0.36801574
2023-07-06,4.295832
2023-07-07,0.38949084
2023-07-08,2.8474734
2023-07-09,1.6024158
2023-07-10,0.5948894
2023-07-11,2.3370054
2023-07-12,0.052048415
2023-07-13,0.024753792
2023-07-14,1.1806316
2023-07-15,1.4723046
2023-07-16,1.9181753
2023-07-17,2.0745158
2023-07-18,5.050836
2023-07-19,6.743991
2023-07-20,17.992247
2023-07-21,1.8079736
2023-07-22,7.4136
2023-07-23,7.1059785
2023-07-24,14.025142
2023-07-25,9.457587
2023-07-26,11.141842
2023-07-27,5.6277227
2023-07-28,10.831123
2023-07-29,6.3428707
2023-07-30,2.8151064
2023-07-31,3.2228665
2023-08-01,4.748709
2023-08-02,1.7156082
2023-08-03,0.72046137
2023-08-04,3.5196223
2023-08-05,3.407469
2023-08-06,1.7347744
2023-08-07,0.894877
2023-08-08,0.14951564
2023-08-09,0.841363
2023-08-10,0.3392454
2023-08-11,0.07881048
2023-08-12,0.022745518
2023-08-13,1.3455843
2023-08-14,0.09394673
2023-08-15,0.5609551
2023-08-16,0.5991377
2023-08-17,0.16823138
2023-08-18,1.1407182
2023-08-19,1.1114154
2023-08-20,2.0243933
2023-08-21,3.5473766
2023-08-22,0.022745518
2023-08-23,2.9368913
2023-08-24,0.041679796
2023-08-25,1.8035536
2023-08-26,4.1950626
2023-08-27,6.2250247
2023-08-28,0.22028297
2023-08-29,0.6872882
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,19.07894
2023-09-03,8.582544
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,10.4134865
2023-09-09,18.065474
2023-09-10,0.12577724
2023-09-11,0.041679796
2023-09-12,0.0
2023-09-13,0.009098208
2023-09-14,0.04749931
2023-09-15,0.013647312
2023-09-16,0.022745518
2023-09-17,0.9201967
2023-09-18,1.9538791
2023-09-19,1.9712523
2023-09-20,0.15307187
2023-09-21,0.23191884
2023-09-22,3.6525488
2023-09-23,9.310258
2023-09-24,24.99341
2023-09-25,6.998535
2023-09-26,0.0
2023-09-27,38.23882
2023-09-28,6.2775393
2023-09-29,5.0883427
2023-09-30,16.827187
2023-10-01,11.597
2023-10-02,5.1331944
2023-10-03,0.21242681
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.9724869
2023-10-20,0.87523824
2023-10-21,0.0
2023-10-22,0.015655586
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,27.152552
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,0.0
2023-11-26,0.0
2023-11-27,5.2634077
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,0.0
